LEVL_CODE,NAME_LATN,NUTS_ID,NUTS_NAME,p2,p95,mean
2,Veri,AL01,Veri,0.2597275446563249,0.7441318494279824,0.5676104900158785
2,Qender,AL02,Qender,0.2324965220177131,0.7324250446729292,0.5433855321381241
2,Jug,AL03,Jug,0.2441794781942237,0.7089725441277326,0.5122159418918061
2,Burgenland,AT11,Burgenland,0.0016504688176148,0.7558092750541897,0.5632565311721013
2,Steiermark,AT22,Steiermark,0.3809028406089296,0.7753235665209146,0.6801118612545776
2,Tirol,AT33,Tirol,0.0722701796376737,0.755826603049329,0.5748847323693193
2,Niederösterreich,AT12,Niederösterreich,0.3808855736610883,0.7753379326823661,0.6172456902544613
2,Vorarlberg,AT34,Vorarlberg,0.1661238969380044,0.7714337553425468,0.6365221330048464
2,Oberösterreich,AT31,Oberösterreich,0.322293931436813,0.7870417604711275,0.6660927966399592
2,Salzburg,AT32,Salzburg,0.1698603712491057,0.7831257183571293,0.6525674326416768
2,Kärnten,AT21,Kärnten,0.2245714890314723,0.771435119604461,0.6611329032052975
2,Wien,AT13,Wien,0.1153266282700992,0.763757908173183,0.4761350814890041
2,Prov. Vlaams-Brabant,BE24,Prov. Vlaams-Brabant,0.3066284126842209,0.751879197689152,0.599131497829448
2,Prov. West-Vlaanderen,BE25,Prov. West-Vlaanderen,0.2322933191046674,0.7441121369698789,0.5663052622175306
2,Prov. Limburg (BE),BE22,Prov. Limburg (BE),0.2793426430502603,0.7519209161840609,0.609079167760466
2,Prov. Oost-Vlaanderen,BE23,Prov. Oost-Vlaanderen,0.216782127293581,0.7480055043279497,0.5911925649485479
2,Région de Bruxelles-Capitale/ Brussels Hoofdstedelijk Gewest,BE10,Région de Bruxelles-Capitale/ Brussels Hoofdstedelijk Gewest,0.1229601772502064,0.7403125727041576,0.4519531072893225
2,Prov. Antwerpen,BE21,Prov. Antwerpen,0.1621199211749742,0.7518741758568243,0.6064834862528584
2,Prov. Liège,BE33,Prov. Liège,0.3495987089790286,0.7830940817319665,0.668055125944076
2,Prov. Brabant Wallon,BE31,Prov. Brabant Wallon,0.3925528349760211,0.7479838931449744,0.5833639631005504
2,Prov. Hainaut,BE32,Prov. Hainaut,0.3183551688163709,0.7636380552006803,0.5971107340433698
2,Prov. Luxembourg (BE),BE34,Prov. Luxembourg (BE),0.5254705841549109,0.787033662232513,0.7201429716697947
2,Prov. Namur,BE35,Prov. Namur,0.4394326418597482,0.7791875080546314,0.6668820038268488
2,Severoiztochen,BG33,Североизточен,0.3731262476768088,0.7324064087036574,0.5250682647898625
2,Yugoiztochen,BG34,Югоизточен,0.3340033820384602,0.755838782951107,0.5445344824240443
2,Yugozapaden,BG41,Югозападен,0.3457239294037545,0.7597010572283973,0.6158749982262816
2,Severen tsentralen,BG32,Северен централен,0.3809535204651981,0.7362602966261651,0.5426681464059054
2,Yuzhen tsentralen,BG42,Южен централен,0.3457425335044397,0.7401903795878838,0.5726122014739644
2,Severozapaden,BG31,Северозападен,0.3848762626918286,0.7402120806008533,0.5473724013602786
2,Ostschweiz,CH05,Ostschweiz,0.0722452527011546,0.7675381791290811,0.5696505214313373
2,Région lémanique,CH01,Région lémanique,0.0488637751764102,0.7597248145425862,0.5331371128921272
2,Ticino,CH07,Ticino,0.1347252953116748,0.7285118345506255,0.5770272561891995
2,Zentralschweiz,CH06,Zentralschweiz,0.1152163900752748,0.7714148772587713,0.6270580670989853
2,Espace Mittelland,CH02,Espace Mittelland,0.1542998039666915,0.7753216108889537,0.6497689502154782
2,Nordwestschweiz,CH03,Nordwestschweiz,0.2910974848043336,0.7753278163774582,0.6551671988169534
2,Zürich,CH04,Zürich,0.2441312046138672,0.7675018275652317,0.6300871954099266
2,Kýpros,CY00,Κύπρος,0.150501982689253,0.5488146782113714,0.325764376356253
2,Střední Čechy,CZ02,Střední Čechy,0.3731638285337484,0.7519075633386503,0.5859550699081798
2,Jihozápad,CZ03,Jihozápad,0.3886446468763532,0.7714277999015889,0.640843725970055
2,Praha,CZ01,Praha,0.1466718227076598,0.7128948258810943,0.4864351056775124
2,Jihovýchod,CZ06,Jihovýchod,0.3652358347914161,0.7480031135816195,0.5858197252384619
2,Severovýchod,CZ05,Severovýchod,0.4160622044252181,0.7597206376542487,0.6284627511856735
2,Moravskoslezsko,CZ08,Moravskoslezsko,0.3692409980642812,0.7558260148598943,0.6277732813123202
2,Severozápad,CZ04,Severozápad,0.3027332487428124,0.7675385569131531,0.6342082268514148
2,Střední Morava,CZ07,Střední Morava,0.4081660689318228,0.771430863605558,0.6339482768799526
2,Karlsruhe,DE12,Karlsruhe,0.2949069441229552,0.7831286694361475,0.6416485627853841
2,Tübingen,DE14,Tübingen,0.259775303350786,0.7753420983734907,0.6409446707298914
2,Freiburg,DE13,Freiburg,0.3339327292620914,0.7870371628126642,0.6694425144263939
2,Oberbayern,DE21,Oberbayern,0.2831668881090093,0.7792345714186334,0.6442962774636087
2,Schleswig-Holstein,DEF0,Schleswig-Holstein,0.3066609823619453,0.7714155586789407,0.632788398380415
2,Berlin,DE30,Berlin,0.1736932787885013,0.7480050776238911,0.5292818388523056
2,Düsseldorf,DEA1,Düsseldorf,0.2050465082220585,0.7558184805339162,0.5832949619898297
2,Thüringen,DEG0,Thüringen,0.3847947836402305,0.7675144857376202,0.6183800697251173
2,Köln,DEA2,Köln,0.2636863846104982,0.7713979940584413,0.6246354943938486
2,Mittelfranken,DE25,Mittelfranken,0.3340351409230792,0.7557939913822165,0.6081655076745084
