Year,fua_code,fua_name,ndvi
2000,DE052L1,Flensburg,0.6633502775678267
2000,DE053L1,Marburg,0.7260434338223221
2000,DE054L1,Konstanz,0.6801282894557547
2000,DE055L0,NeumÃ¼nster,0.6022079592866718
2000,DE056L0,Brandenburg an der Havel,0.6129761832878805
2000,DE057L1,GieÃen,0.7116997521044925
2000,DE058L1,LÃ¼neburg,0.6506772753862353
2000,DE059L1,Bayreuth,0.7115945636578359
2000,DE060L1,Celle,0.6610943048944322
2000,DE061L1,Aschaffenburg,0.7529161629788304
2000,DE062L1,Bamberg,0.6929060012888882
2000,DE063L1,Plauen,0.7166302357850707
2000,DE064L1,Neubrandenburg,0.6417881183673978
2000,DE065L1,Fulda,0.7306488027326846
2000,DE066L1,Kempten (AllgÃ¤u),0.7293284609780368
2000,DE067L1,Landshut,0.6250700701945896
2000,DE069L1,Rosenheim,0.6957091715996441
2000,DE071L1,Stralsund,0.6746136306821792
2000,DE072L1,Friedrichshafen,0.7077472463700163
2000,DE073L1,Offenburg,0.6799095912818117
2000,DE074L1,GÃ¶rlitz,0.5933748638202222
2000,DE077L1,Schweinfurt,0.6779356324730765
2000,DE078L1,Greifswald,0.6331017401583939
2000,DE079L1,Wetzlar,0.7403232952348092
2000,DE081L1,Passau,0.655026302241964
2000,DE082L0,Dessau-RoÃlau,0.6063340578601956
2000,DE083L1,Braunschweig-Salzgitter-Wolfsburg,0.6511681349248943
2000,DE084L1,Mannheim-Ludwigshafen,0.6474909211932388
2000,DE504L1,MÃ¼nster,0.6718328562291898
2000,DE505L0,Chemnitz,0.596340795743232
2000,DE507L1,Aachen,0.6900653427608358
2000,DE508L0,Krefeld,0.594674439310051
2000,DE510L1,LÃ¼beck,0.6239765309227603
2000,DE513L1,Kassel,0.7113742987837827
2000,DE516L0,Solingen,0.6837558651166945
2000,DE517L1,OsnabrÃ¼ck,0.6605091887977598
2000,DE520L1,Oldenburg (Oldenburg),0.6846604602248937
2000,DE522L1,Heidelberg,0.6977088094481766
2000,DE523L1,Paderborn,0.6930759419948989
2000,DE524L2,WÃ¼rzburg,0.6732594320894126
2000,DE527L1,Bremerhaven,0.6915773477642805
2000,DE529L1,Heilbronn,0.6695358222993155
2000,DE530L0,Remscheid,0.6888772500994768
2000,DE532L1,Ulm,0.7089517606802159
2000,DE533L1,Pforzheim,0.7121496936288688
2000,DE534L1,Ingolstadt,0.6851192943048557
2000,DE535L1,Gera,0.6364197575580441
2000,DE537L1,Reutlingen,0.7186813951281744
2000,DE539L1,Cottbus,0.5757175790706768
2000,DE540L2,Siegen,0.7696275656576145
2000,DE542L1,Hildesheim,0.6837960398143138
2000,DE544L1,Zwickau,0.6304887112461365
2000,DE546L0,Wuppertal,0.6725838930076822
2000,DE547L2,Jena,0.6587917212073706
2000,DE548L1,DÃ¼ren,0.6283444745031441
2000,DE549L1,Bocholt,0.6656123789078094
2000,DK001L2,KÃ¸benhavn,0.6606736131257877
2000,DK002L3,Ãrhus,0.5806255730589576
2000,DK003L2,Odense,0.6093036461901316
2000,DK004L3,Aalborg,0.6688412648776989
2000,EE001L1,Tallinn,0.6709531315794087
2000,EE002L1,Tartu,0.6554577924674256
2000,EE003L0,Narva,0.5239965866929743
2000,EL001L1,Athina,0.3341182340255948
2000,EL002L1,Thessaloniki,0.34526469448615776
2000,EL003L1,Patra,0.4313244033264416
2000,EL004L1,Irakleio,0.3120945054086747
2000,EL005L1,Larisa,0.3619277503751982
2000,EL006L1,Volos,0.42791967342120935
2000,EL007L1,Ioannina,0.5428759731721533
2000,EL008L1,Kavala,0.43822698018851747
2000,EL009L1,Kalamata,0.5519728687889051
